experiment,variant,label,condition,selection_mode,top_k,selectivity_mean,max_candidate_pool_multiplier,action_radius,protected_slots,reserve_fraction,learning,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_visibility_action_gap_mean,late_action_coverage_mean,late_candidate_pool_multiplier_mean,late_mean_selection_quota,final_mean_region_reserve,final_max_region_reserve
a_radius_alone,local_visible_local_action,"Local visibility, local action",radius_aligned,,,,,,,,,3,1.0551323278431777,0.9827302631578947,1.1466011466011465,0.993697420506631,0.21298242222222222,0.03398785555555556,0.9602817444444445,0.0,0.0,0.13021883333333337,1.0,4.906189755555555,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",radius_aligned_global,,,,,,,,,3,0.7597504425750256,0.7404081632653061,0.7962202136400987,0.7464104180406217,0.31390830000000003,0.03500977777777778,1.0,0.0,0.0,1.0,1.0,16.0,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",action_gap_only,,,,,,,,,3,0.31364053062985336,0.23108552631578946,0.41475409836065574,0.28358588582111016,0.4774426333333334,0.03081488888888889,0.13223612222222222,0.0,0.8195755777777779,0.1804244222222222,1.0,14.300000000000002,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,full_mechanism,,,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
b_selection_mode,top_k_8,Top-k 8,,top-k,8.0,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
b_selection_mode,top_k_16,Top-k 16,,top-k,16.0,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
b_selection_mode,top_k_32,Top-k 32,,top-k,32.0,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
b_selection_mode,percentile_0_02,Percentile 0.02,,percentile,,0.02,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
b_selection_mode,percentile_0_08,Percentile 0.08,,percentile,,0.08,,,,,,3,0.003009278135865786,0.000819000819000819,0.006568144499178982,0.003009278135865786,0.31222222222222223,0.0022222222222222222,0.0033816222222222228,0.2264214,0.08888888888888889,0.14444444444444446,300.0,5.701851855555556,,
b_selection_mode,percentile_0_18,Percentile 0.18,,percentile,,0.18,,,,,,3,0.05497748927920634,0.02702702702702703,0.10673234811165845,0.05497748927920634,0.676299011111111,0.019162500000000002,0.009021433333333334,0.9596567222222223,0.5409388111111111,0.4590611888888889,300.0,92.17423512222221,,
