year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,variant,label,seed
1,1980,2547,47,0.018453,0.044677,0.095528,0,492,2,521,0.064639,4.181818,5.0,125.454545,150.0,4.181818,0.097252,0.0,0.046875,15.636364,0.156075,121.272727,59.477273,14.886364,0.930398,30.0,0.097252,0.045239,0.086667,1,0.12,0,0.000923,0.981599,2.2154,0.966101,86.627451,0.12,distance_filter_first,Distance filter first,42
2,1981,2555,39,0.015264,0.036967,0.091549,31,426,16,485,0.192417,18.99435,18.0,569.830508,540.0,18.99435,0.107922,0.0,0.225636,16.0,0.032309,550.836158,64.0,12.389831,0.774364,30.0,0.107922,0.045239,0.086453,1,0.12,0,0.001084,0.976402,2.209528,0.970997,74.195122,0.12,distance_filter_first,Distance filter first,42
3,1982,2556,27,0.010563,0.025837,0.07124,26,379,17,472,0.274641,24.798283,23.0,743.948498,690.0,24.798283,0.106889,0.0,0.208691,16.0,0.024822,719.150215,64.0,12.660944,0.791309,30.0,0.106889,0.045239,0.08628,1,0.12,0,0.00166,0.968349,2.200397,0.98038,50.275862,0.12,distance_filter_first,Distance filter first,42
4,1983,2558,35,0.013683,0.033397,0.099715,33,351,24,464,0.330153,31.576389,32.0,947.291667,960.0,31.576389,0.110022,0.0,0.218533,16.0,0.018966,915.715278,64.0,12.503472,0.781467,30.0,0.110022,0.045239,0.08636,1,0.12,0,0.005199,0.964298,2.195789,0.972635,70.0,0.12,distance_filter_first,Distance filter first,42
5,1984,2565,24,0.009357,0.022835,0.07571,17,317,25,445,0.396765,38.443804,36.0,1153.314121,1080.0,38.443804,0.111109,0.0,0.224784,16.0,0.015663,1114.870317,64.0,12.403458,0.775216,30.0,0.111109,0.045239,0.08612,1,0.12,0,0.007669,0.960329,2.191265,0.984146,41.142857,0.12,distance_filter_first,Distance filter first,42
6,1985,2555,21,0.008219,0.020115,0.074733,31,281,22,425,0.461686,45.507692,35.0,1365.230769,1050.0,45.507692,0.116986,0.0,0.232372,16.0,0.013788,1319.723077,64.0,12.282051,0.767628,30.0,0.116986,0.045239,0.086213,1,0.12,0,0.008923,0.957068,2.187542,0.985053,38.347826,0.12,distance_filter_first,Distance filter first,42
7,1986,2561,27,0.010543,0.025887,0.102662,21,263,16,413,0.495686,47.228155,42.0,1416.84466,1260.0,47.228155,0.11491,0.0,0.217081,16.0,0.013164,1369.616505,64.0,12.526699,0.782919,30.0,0.11491,0.045239,0.086213,1,0.12,0,0.01105,0.951197,2.180822,0.980419,50.275862,0.12,distance_filter_first,Distance filter first,42
8,1987,2563,18,0.007023,0.017127,0.071713,16,251,24,404,0.52236,50.982684,46.0,1529.480519,1380.0,50.982684,0.110592,0.0,0.21415,16.0,0.011788,1478.497835,64.0,12.573593,0.78585,30.0,0.110592,0.045239,0.086067,1,0.12,0,0.011281,0.946805,2.175782,0.987428,32.4,0.12,distance_filter_first,Distance filter first,42
9,1988,2557,21,0.008213,0.020329,0.090909,27,231,12,391,0.552759,52.545852,49.0,1576.375546,1470.0,52.545852,0.11498,0.0,0.173171,16.0,0.011816,1523.829694,64.0,13.229258,0.826829,30.0,0.11498,0.045239,0.086187,1,0.12,0,0.013113,0.943212,2.171649,0.985064,38.347826,0.12,distance_filter_first,Distance filter first,42
10,1989,2546,12,0.004713,0.011742,0.056604,23,212,11,382,0.585127,53.864979,49.0,1615.949367,1470.0,53.864979,0.113879,0.0,0.150712,16.0,0.011441,1562.084388,64.0,13.588608,0.849288,30.0,0.113879,0.045239,0.086213,1,0.12,0,0.013638,0.940322,2.168319,0.990573,24.0,0.12,distance_filter_first,Distance filter first,42
