year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,variant,label,seed
1,1980,2545,45,0.017682,0.042776,0.090726,0,496,6,525,0.057034,0.318182,0.0,0.318182,0.0,0.318182,0.0074,0.0,0.295455,0.318182,0.295455,0.0,0.0,0.0,0.0,1.0,0.0074,0.001257,0.086667,1,0.12,0,0.000791,0.981359,2.215129,0.96764,82.653061,0.02,raw_sns,Raw SNS / no discipline,42
2,1981,2554,40,0.015662,0.037915,0.087146,31,459,45,518,0.129858,1.029586,1.0,1.029586,1.0,1.029586,0.006128,0.0,0.585799,1.029586,0.585799,0.0,0.0,0.0,0.0,1.0,0.006128,0.001257,0.08648,1,0.12,0,0.001761,0.976472,2.209606,0.970204,76.190476,0.02,raw_sns,Raw SNS / no discipline,42
3,1982,2564,36,0.014041,0.03445,0.083333,26,432,39,527,0.173206,0.769231,1.0,0.769231,1.0,0.769231,0.004579,0.0,0.502959,0.769231,0.502959,0.0,0.0,0.0,0.0,1.0,0.004579,0.001257,0.086293,1,0.12,0,0.002736,0.967906,2.199893,0.973436,68.210526,0.02,raw_sns,Raw SNS / no discipline,42
4,1983,2571,40,0.015558,0.038168,0.096386,33,415,38,533,0.208015,0.863388,1.0,0.863388,1.0,0.863388,0.004744,0.0,0.513661,0.863388,0.513661,0.0,0.0,0.0,0.0,1.0,0.004744,0.001257,0.086253,1,0.12,0,0.00433,0.963938,2.195379,0.97184,72.727273,0.02,raw_sns,Raw SNS / no discipline,42
5,1984,2583,29,0.011227,0.027593,0.070218,17,413,58,547,0.214082,1.302326,1.0,1.302326,1.0,1.302326,0.006086,0.0,0.618605,1.302326,0.618605,0.0,0.0,0.0,0.0,1.0,0.006086,0.001257,0.085947,1,0.12,0,0.005706,0.958643,2.189341,0.979041,54.258065,0.02,raw_sns,Raw SNS / no discipline,42
6,1985,2591,39,0.015052,0.037356,0.0975,31,400,49,554,0.233716,0.964467,1.0,0.964467,1.0,0.964467,0.004921,0.0,0.568528,0.964467,0.568528,0.0,0.0,0.0,0.0,1.0,0.004921,0.001257,0.085973,1,0.12,0,0.006315,0.952149,2.181913,0.972825,70.744186,0.02,raw_sns,Raw SNS / no discipline,42
7,1986,2600,30,0.011538,0.028763,0.076923,21,390,30,558,0.252157,0.662722,0.0,0.662722,0.0,0.662722,0.003945,0.0,0.402367,0.662722,0.402367,0.0,0.0,0.0,0.0,1.0,0.003945,0.001257,0.085733,1,0.12,0,0.006422,0.945063,2.173779,0.979795,52.941176,0.02,raw_sns,Raw SNS / no discipline,42
8,1987,2608,24,0.009202,0.022835,0.061069,16,393,47,569,0.252141,0.95098,1.0,0.95098,1.0,0.95098,0.004685,0.0,0.529412,0.95098,0.529412,0.0,0.0,0.0,0.0,1.0,0.004685,0.001257,0.085547,1,0.12,0,0.006237,0.938948,2.166735,0.981595,48.0,0.02,raw_sns,Raw SNS / no discipline,42
9,1988,2614,33,0.012624,0.031946,0.087071,27,379,28,569,0.266215,0.670588,0.0,0.670588,0.0,0.670588,0.003968,0.0,0.4,0.670588,0.4,0.0,0.0,0.0,0.0,1.0,0.003968,0.001257,0.085587,1,0.12,0,0.007168,0.934708,2.161837,0.977626,58.864865,0.02,raw_sns,Raw SNS / no discipline,42
10,1989,2624,33,0.012576,0.03229,0.090411,23,365,29,576,0.285714,0.576471,0.0,0.576471,0.0,0.576471,0.003411,0.0,0.4,0.576471,0.4,0.0,0.0,0.0,0.0,1.0,0.003411,0.001257,0.085453,1,0.12,0,0.006025,0.928406,2.154538,0.974848,66.0,0.02,raw_sns,Raw SNS / no discipline,42
