seed,variant,label,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
0,raw_sns,Raw SNS / no discipline,0.0,0.0,2060.0,0.1411764705882353,0.0,0.00022671176470588235,0.13325582941176473
0,contact_before_scroll,Contact before scroll,0.7225933202357564,0.7013752455795678,,0.28753616470588234,0.035099776470588234,0.2451249588235294,0.7546909117647059
0,distance_filter_first,Distance filter first,0.5627211954384586,0.47109712937475423,2068.0,0.30340478235294116,0.03741413529411765,0.21689296470588235,0.7802427588235296
0,no_phantom_replay,Do not replay phantom candidates,0.07347740667976424,0.04204322200392927,2062.0,0.37044025294117644,0.03920788235294118,0.08190518235294117,0.6567249941176471
0,fixed_local_venue,Weekly fixed local venue,0.494492525570417,0.4287962234461054,2092.0,0.3402591588235294,0.03535205882352941,0.2494015176470588,0.7497264470588235
0,forty_eight_hour_reality,48h move to reality,0.6722986247544205,0.6722986247544205,,0.3109693058823529,0.034220888235294115,0.24802525294117647,0.6000008470588236
0,full_behavior_bundle,Full behavior bundle,0.6746656176239182,0.6553894571203777,,0.30414850000000004,0.03452391176470588,0.4926354647058824,0.46960706470588237
1,raw_sns,Raw SNS / no discipline,0.0,0.0,2057.0,0.14705882352941177,0.0,0.0009413352941176471,0.13949268235294116
1,contact_before_scroll,Contact before scroll,0.7431156569630213,0.7033831628638867,,0.299737305882353,0.035963547058823535,0.24616422941176475,0.7537368764705882
1,distance_filter_first,Distance filter first,0.5139708776072412,0.3872491145218418,2057.0,0.3051928176470588,0.03829541764705883,0.19425772352941179,0.7990389705882355
1,no_phantom_replay,Do not replay phantom candidates,0.06058221872541306,0.04130605822187254,2059.0,0.4224504176470588,0.03644744117647059,0.0594841,0.6260969941176471
1,fixed_local_venue,Weekly fixed local venue,0.41581431943351693,0.4142407553107789,2089.0,0.36953745294117646,0.03437488235294118,0.24985911764705881,0.7494315705882353
1,forty_eight_hour_reality,48h move to reality,0.7431156569630213,0.7033831628638867,,0.299737305882353,0.035963547058823535,0.2461950823529412,0.6688064352941177
1,full_behavior_bundle,Full behavior bundle,0.7206923682140047,0.7206923682140047,,0.30046220588235295,0.035323941176470586,0.49890679411764705,0.47229297058823533
2,raw_sns,Raw SNS / no discipline,0.003523884103367267,0.001957713390759593,2057.0,0.4174466941176472,0.0317647,0.006804129411764706,0.2903399235294118
2,contact_before_scroll,Contact before scroll,0.7400156617071261,0.7278778386844166,,0.29857257058823533,0.035705011764705884,0.24517027647058828,0.7547166470588235
2,distance_filter_first,Distance filter first,0.4694596711041504,0.3457321848081441,2057.0,0.3155152470588235,0.03762859411764707,0.1958779235294118,0.7951416000000001
2,no_phantom_replay,Do not replay phantom candidates,0.06617071260767424,0.036021926389976505,2059.0,0.34907921764705885,0.037993670588235294,0.10279254705882353,0.7077090764705882
2,fixed_local_venue,Weekly fixed local venue,0.386729485669415,0.3600314095013742,2077.0,0.35731159411764707,0.0351560705882353,0.24932367647058823,0.7505059823529412
2,forty_eight_hour_reality,48h move to reality,0.7141738449490994,0.6558339859044636,,0.28733786470588235,0.03584122941176471,0.24482497058823527,0.6563044117647059
2,full_behavior_bundle,Full behavior bundle,0.7188849627012172,0.6972909305064782,,0.29398989999999997,0.03551785882352941,0.49781872941176475,0.46105992941176466
42,raw_sns,Raw SNS / no discipline,0.0,0.0,2053.0,0.1411764705882353,0.0,0.00023336470588235293,0.1317777176470588
42,contact_before_scroll,Contact before scroll,0.7111984282907662,0.6931237721021611,,0.27996919411764704,0.03569134117647059,0.24206934117647055,0.7574241588235293
42,distance_filter_first,Distance filter first,0.430702787593247,0.38790734197094623,2055.0,0.3176609294117647,0.03665329411764707,0.19289701764705877,0.7979311529411766
42,no_phantom_replay,Do not replay phantom candidates,0.08330058939096267,0.02986247544204322,2055.0,0.3559383411764706,0.04265597647058824,0.09003667647058824,0.6992347823529411
42,fixed_local_venue,Weekly fixed local venue,0.4392927308447937,0.4212180746561886,2083.0,0.3343554941176471,0.03556114705882353,0.24925494117647057,0.7506553588235294
42,forty_eight_hour_reality,48h move to reality,0.7257367387033399,0.694302554027505,,0.27553671176470584,0.03594018235294118,0.24355347058823526,0.6515410294117646
42,full_behavior_bundle,Full behavior bundle,0.6911591355599214,0.6821218074656189,,0.2857326,0.03547954705882353,0.4924886529411765,0.4568253588235295
