region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
gbr,United Kingdom,23,2,0.04498755016613233,0.04257939494635929,0.04739570538590538,1.1511723740800057,1.140983606557377,1.1613611416026344,0.01005845,0.04498755016613233,0.22,3200.0,26.0,78.0,10,0.55
gbr,United Kingdom,15,2,0.048174007535582236,0.04610568788090668,0.0502423271902578,1.156928052994703,1.1355191256830601,1.1783369803063457,0.010715850000000002,0.048174007535582236,0.18,7200.0,20.0,78.0,10,0.55
gbr,United Kingdom,13,2,0.04873387434236636,0.046851620882448514,0.05061612780228421,1.177773285129864,1.1717391304347826,1.1838074398249452,0.010335700000000001,0.04873387434236636,0.18,7200.0,14.0,78.0,10,0.55
gbr,United Kingdom,19,2,0.050803778250568574,0.045558180950848785,0.05604937555028837,1.1472671487013604,1.132608695652174,1.161925601750547,0.01019865,0.050803778250568574,0.22,3200.0,14.0,78.0,10,0.55
gbr,United Kingdom,29,2,0.05136775002916203,0.04179146554081511,0.06094403451750895,1.219528241507167,1.201954397394137,1.2371020856201975,0.01120115,0.05136775002916203,0.22,4800.0,26.0,78.0,10,0.55
gbr,United Kingdom,17,2,0.053914324043159156,0.04291100519101437,0.06491764289530394,1.1545494352569985,1.1027322404371585,1.2063666300768385,0.011207250000000002,0.053914324043159156,0.18,7200.0,26.0,78.0,10,0.55
gbr,United Kingdom,25,2,0.05585282352226622,0.042373865227604765,0.06933178181692767,1.2213085827216261,1.198051948051948,1.2445652173913044,0.01076435,0.05585282352226622,0.22,4800.0,14.0,78.0,10,0.55
gbr,United Kingdom,21,2,0.056813890920890495,0.04534162264523176,0.06828615919654923,1.1323325082804223,1.0961748633879782,1.1684901531728664,0.009954750000000002,0.056813890920890495,0.22,3200.0,20.0,78.0,10,0.55
gbr,United Kingdom,24,2,0.05930223135026813,0.05929513402543094,0.05930932867510533,1.1552827300881252,1.143169398907104,1.1673960612691465,0.010419300000000001,0.05930223135026813,0.22,3200.0,26.0,84.0,10,0.55
gbr,United Kingdom,14,2,0.05967171642946399,0.059307848586461556,0.06003558427246643,1.1637919938215986,1.1470588235294117,1.1805251641137855,0.0101163,0.05967171642946399,0.18,7200.0,14.0,84.0,10,0.55
