region,region_label,visibility_condition,visibility_label,aspiration_profile,aspiration_label,seed,year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,population_gender_a,population_gender_b,eligible_gender_a,eligible_gender_b,unmatched_rate_gender_a,unmatched_rate_gender_b,population_index
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,1,1980,920,20,0.021739,0.063492,0.15873,0,126,5,138,0.2,0.459016,0.0,0.459016,0.0,0.459016,0.00765,0.0,0.229508,0.459016,0.229508,0.0,0.0,0.0,0.0,1.0,0.00765,0.045239,0.218083,1,0.12,0,0.021132,0.966956,2.198814,0.960652,36.363636,0.12,460,460,143,172,0.11888111888111885,0.2674418604651163,1.0
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,2,1981,929,14,0.01507,0.045752,0.12069,5,116,11,140,0.24183,1.506849,1.0,1.506849,1.0,1.506849,0.020928,0.0,0.657534,1.506849,0.657534,0.0,0.0,0.0,0.0,1.0,0.020928,0.045239,0.213996,1,0.12,0,0.019707,0.956138,2.186479,0.973858,24.5,0.12,464,465,139,167,0.16546762589928055,0.3053892215568862,1.0097826086956523
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,3,1982,934,15,0.01606,0.047319,0.12605,10,119,19,151,0.249211,2.896552,2.0,2.896552,2.0,2.896552,0.033681,0.0,0.850575,2.850575,0.84802,0.0,0.0,0.0,0.0,1.0,0.033681,0.045239,0.215605,1,0.12,0,0.019766,0.945705,2.174517,0.96788,30.0,0.12,462,472,139,178,0.14388489208633093,0.3314606741573034,1.0152173913043478
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,4,1983,943,12,0.012725,0.0375,0.098361,3,122,16,160,0.2375,3.0,2.0,3.0,2.0,3.0,0.042254,0.0,0.819444,3.0,0.819444,0.0,0.0,0.0,0.0,1.0,0.042254,0.045239,0.211586,1,0.12,0,0.019599,0.940842,2.168919,0.978438,20.571429,0.12,466,477,148,172,0.17567567567567566,0.2906976744186046,1.025
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,5,1984,953,14,0.01469,0.043614,0.113821,4,123,14,167,0.233645,2.4375,2.0,2.4375,2.0,2.4375,0.03869,0.0,0.953125,2.4375,0.953125,0.0,0.0,0.0,0.0,1.0,0.03869,0.045239,0.212029,1,0.12,0,0.018909,0.933091,2.159966,0.974517,24.5,0.12,471,482,153,168,0.196078431372549,0.2678571428571429,1.0358695652173913
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,6,1985,966,16,0.016563,0.048193,0.124031,3,129,16,175,0.222892,2.830769,2.0,2.830769,2.0,2.830769,0.044231,0.0,0.938462,2.830769,0.938462,0.0,0.0,0.0,0.0,1.0,0.044231,0.045239,0.215813,1,0.12,0,0.018664,0.926672,2.152525,0.976967,23.272727,0.12,478,488,157,175,0.17834394904458595,0.2628571428571429,1.05
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,7,1986,977,16,0.016377,0.048048,0.124031,5,129,11,180,0.225225,1.927273,2.0,1.927273,2.0,1.927273,0.03569,0.0,0.8,1.927273,0.8,0.0,0.0,0.0,0.0,1.0,0.03569,0.045239,0.214438,1,0.12,0,0.016318,0.918093,2.142537,0.974411,25.6,0.12,482,495,157,176,0.17834394904458595,0.2670454545454546,1.0619565217391305
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,8,1987,990,17,0.017172,0.050595,0.133858,4,127,12,186,0.244048,2.105263,2.0,2.105263,2.0,2.105263,0.037594,0.0,0.754386,2.105263,0.754386,0.0,0.0,0.0,0.0,1.0,0.037594,0.045239,0.217782,1,0.12,0,0.015776,0.909646,2.132658,0.969459,30.421053,0.12,490,500,152,184,0.16447368421052633,0.3097826086956522,1.076086956521739
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,9,1988,998,16,0.016032,0.048048,0.129032,8,124,11,190,0.255255,1.849057,1.0,1.849057,1.0,1.849057,0.035559,0.0,0.886792,1.849057,0.886792,0.0,0.0,0.0,0.0,1.0,0.035559,0.045239,0.224465,1,0.12,0,0.01494,0.90683,2.129354,0.967936,32.0,0.12,492,506,152,181,0.1842105263157895,0.3149171270718232,1.0847826086956522
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,10,1989,1009,13,0.012884,0.039394,0.107438,2,121,11,194,0.266667,1.92,1.0,1.92,1.0,1.92,0.039184,0.0,0.88,1.92,0.88,0.0,0.0,0.0,0.0,1.0,0.039184,0.045239,0.232893,1,0.12,0,0.015422,0.902751,2.12456,0.977891,22.533333,0.12,499,510,155,175,0.21935483870967742,0.3085714285714286,1.0967391304347827
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,11,1990,1021,17,0.01665,0.051829,0.141667,5,120,8,191,0.268293,1.510204,1.0,1.510204,1.0,1.510204,0.031463,0.0,0.653061,1.510204,0.653061,0.0,0.0,0.0,0.0,1.0,0.031463,0.045239,0.240135,1,0.12,0,0.014914,0.895446,2.115947,0.970387,30.421053,0.12,504,517,150,178,0.19999999999999996,0.3258426966292135,1.1097826086956522
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,12,1991,1034,16,0.015474,0.049231,0.135593,3,118,12,194,0.273846,1.642857,1.0,1.642857,1.0,1.642857,0.02987,0.0,0.678571,1.642857,0.678571,0.0,0.0,0.0,0.0,1.0,0.02987,0.045239,0.237122,1,0.12,0,0.014081,0.886143,2.104926,0.969052,32.0,0.12,513,521,148,177,0.20270270270270274,0.33333333333333337,1.123913043478261
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,13,1992,1046,19,0.018164,0.058824,0.158333,7,120,13,195,0.256966,2.241379,2.0,2.241379,2.0,2.241379,0.039322,0.0,0.741379,2.241379,0.741379,0.0,0.0,0.0,0.0,1.0,0.039322,0.045239,0.234666,1,0.12,0,0.015393,0.879597,2.097137,0.967294,34.380952,0.12,521,525,147,176,0.18367346938775508,0.31818181818181823,1.1369565217391304
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,0,14,1993,1060,18,0.016981,0.054878,0.147541,4,122,13,204,0.256098,1.857143,1.0,1.857143,1.0,1.857143,0.033766,0.0,0.839286,1.857143,0.839286,0.0,0.0,0.0,0.0,1.0,0.033766,0.045239,0.230705,1,0.12,0,0.014025,0.874511,2.091066,0.972746,29.454545,0.12,524,536,149,179,0.18120805369127513,0.3184357541899442,1.1521739130434783
