region,region_label,visibility_condition,visibility_label,aspiration_profile,aspiration_label,seed_count,anchor_rmse_mean,final_ratio_mean,final_ratio_min,final_ratio_max,mean_unmatched_rate,late_unmatched_rate,late_births_per_population,symmetric_final_ratio_mean,symmetric_late_births_per_population,symmetric_late_unmatched_rate,delta_final_ratio_vs_symmetric,delta_late_births_vs_symmetric,delta_late_unmatched_vs_symmetric
gbr,United Kingdom,global_from_start,Global from start,b_500_proxy,B 500+ proxy,3,0.11067674554592065,1.0120961478952004,0.9573770491803278,1.0558598028477546,0.41508982962962965,0.41573609999999994,0.008450766666666666,1.1229447246345254,0.010114900000000001,0.29100976666666667,-0.11084857673932502,-0.0016641333333333348,0.12472633333333327
gbr,United Kingdom,global_from_start,Global from start,b_heavy_mixed,B compound-heavy,3,0.16905064907269432,0.9094081033639455,0.8898582333696837,0.9466811751904244,0.541259037037037,0.5977205333333333,0.005296833333333333,1.1229447246345254,0.010114900000000001,0.29100976666666667,-0.21353662127057993,-0.004818066666666668,0.30671076666666663
gbr,United Kingdom,global_from_start,Global from start,b_light_mixed,B light mixed,3,0.1387191372616988,0.966498829664724,0.8961748633879781,1.0087623220153341,0.45139510370370367,0.46741049999999995,0.008248466666666667,1.1229447246345254,0.010114900000000001,0.29100976666666667,-0.15644589496980144,-0.0018664333333333338,0.17640073333333328
gbr,United Kingdom,global_from_start,Global from start,symmetric,Symmetric,3,0.05971735303288339,1.1229447246345254,1.0599128540305012,1.1657519209659715,0.3077623703703703,0.29100976666666667,0.010114900000000001,1.1229447246345254,0.010114900000000001,0.29100976666666667,0.0,0.0,0.0
gbr,United Kingdom,local_actionable,Local visible/actionable,b_500_proxy,B 500+ proxy,3,0.060563752827352796,1.111158940265372,1.0852459016393443,1.1312910284463895,0.3043523259259259,0.2920666333333333,0.0109646,1.1479856495319138,0.011037033333333335,0.2735377666666667,-0.036826709266541746,-7.243333333333511e-05,0.018528866666666644
gbr,United Kingdom,local_actionable,Local visible/actionable,b_heavy_mixed,B compound-heavy,3,0.058390514557567656,1.10949250221631,1.1055495103373232,1.1166848418756816,0.2868821703703704,0.2777603,0.010974800000000002,1.1479856495319138,0.011037033333333335,0.2735377666666667,-0.038493147315603826,-6.223333333333324e-05,0.004222533333333334
gbr,United Kingdom,local_actionable,Local visible/actionable,b_light_mixed,B light mixed,3,0.054278532078004815,1.1240090408138725,1.0948745910577973,1.159956474428727,0.2785627333333333,0.25938256666666665,0.0110481,1.1479856495319138,0.011037033333333335,0.2735377666666667,-0.023976608718041303,1.1066666666665129e-05,-0.014155200000000034
gbr,United Kingdom,local_actionable,Local visible/actionable,symmetric,Symmetric,3,0.047994639723852206,1.1479856495319138,1.140983606557377,1.1613611416026344,0.29084856296296296,0.2735377666666667,0.011037033333333335,1.1479856495319138,0.011037033333333335,0.2735377666666667,0.0,0.0,0.0
gbr,United Kingdom,sns_expansion,SNS-like expansion,b_500_proxy,B 500+ proxy,3,0.13446253838842148,0.9660811581032552,0.9277899343544858,1.005464480874317,0.45893342962962963,0.5075853,0.0059029,1.0087462818808937,0.0089116,0.37029336666666673,-0.042665123777638425,-0.0030087000000000004,0.13729193333333328
gbr,United Kingdom,sns_expansion,SNS-like expansion,b_heavy_mixed,B compound-heavy,3,0.14478842336526532,0.9451470933975527,0.9332603938730853,0.9542981501632208,0.500005962962963,0.6461832,0.004403533333333333,1.0087462818808937,0.0089116,0.37029336666666673,-0.06359918848334101,-0.004508066666666667,0.2758898333333332
gbr,United Kingdom,sns_expansion,SNS-like expansion,b_light_mixed,B light mixed,3,0.13352989563848758,0.9709549322890272,0.9565689467969598,0.9891186071817193,0.4729171111111112,0.5556226666666667,0.006448333333333334,1.0087462818808937,0.0089116,0.37029336666666673,-0.037791349591866474,-0.0024632666666666667,0.18532929999999997
gbr,United Kingdom,sns_expansion,SNS-like expansion,symmetric,Symmetric,3,0.11339720313790703,1.0087462818808937,0.9683406113537117,1.0665938864628821,0.41566631851851854,0.37029336666666673,0.0089116,1.0087462818808937,0.0089116,0.37029336666666673,0.0,0.0,0.0
ssf,Sub-Saharan Africa,global_from_start,Global from start,b_500_proxy,B 500+ proxy,3,0.31110118943624704,2.742329087808663,2.674468085106383,2.84204909284952,0.30975578518518526,0.27904443333333334,0.025330633333333335,3.3196158355017347,0.02782683333333333,0.17486533333333334,-0.5772867476930719,-0.0024961999999999936,0.1041791
ssf,Sub-Saharan Africa,global_from_start,Global from start,b_heavy_mixed,B compound-heavy,3,0.6998228696749238,2.0596771797837037,1.9871382636655948,2.1159574468085105,0.5028133925925925,0.5263298666666667,0.0186945,3.3196158355017347,0.02782683333333333,0.17486533333333334,-1.259938655718031,-0.009132333333333329,0.3514645333333334
ssf,Sub-Saharan Africa,global_from_start,Global from start,b_light_mixed,B light mixed,3,0.4912220096613229,2.417216331296516,2.2838709677419353,2.5315508021390376,0.4059518814814815,0.39614400000000005,0.021696633333333337,3.3196158355017347,0.02782683333333333,0.17486533333333334,-0.9023995042052189,-0.006130199999999992,0.2212786666666667
ssf,Sub-Saharan Africa,global_from_start,Global from start,symmetric,Symmetric,3,0.07115909396106719,3.3196158355017347,3.235546038543897,3.456776947705443,0.18915506666666668,0.17486533333333334,0.02782683333333333,3.3196158355017347,0.02782683333333333,0.17486533333333334,0.0,0.0,0.0
ssf,Sub-Saharan Africa,local_actionable,Local visible/actionable,b_500_proxy,B 500+ proxy,3,0.06456989677124225,3.202839840668993,3.1241970021413277,3.2596153846153846,0.20198809629629624,0.17922816666666666,0.027178033333333334,3.294247968249504,0.0268854,0.15144683333333334,-0.09140812758051098,0.00029263333333333363,0.027781333333333325
ssf,Sub-Saharan Africa,local_actionable,Local visible/actionable,b_heavy_mixed,B compound-heavy,3,0.07267654827806626,3.255935952713924,3.192926045016077,3.320043103448276,0.2234770962962963,0.21349910000000002,0.026901566666666668,3.294247968249504,0.0268854,0.15144683333333334,-0.038312015535579835,1.61666666666678e-05,0.06205226666666669
ssf,Sub-Saharan Africa,local_actionable,Local visible/actionable,b_light_mixed,B light mixed,3,0.06749350655452875,3.2152392788064703,3.1436227224008575,3.290948275862069,0.20641306666666667,0.17753799999999997,0.028043366666666666,3.294247968249504,0.0268854,0.15144683333333334,-0.07900868944303374,0.0011579666666666662,0.026091166666666638
ssf,Sub-Saharan Africa,local_actionable,Local visible/actionable,symmetric,Symmetric,3,0.07936205668855226,3.294247968249504,3.1595289079229123,3.375667022411953,0.18239757777777776,0.15144683333333334,0.0268854,3.294247968249504,0.0268854,0.15144683333333334,0.0,0.0,0.0
ssf,Sub-Saharan Africa,sns_expansion,SNS-like expansion,b_500_proxy,B 500+ proxy,3,0.5013266106055302,2.4070974196177164,2.3519913885898815,2.441334768568353,0.3917813259259259,0.36700086666666665,0.02098193333333333,2.5251101895317607,0.024568966666666667,0.24859870000000003,-0.1180127699140443,-0.0035870333333333365,0.11840216666666661
ssf,Sub-Saharan Africa,sns_expansion,SNS-like expansion,b_heavy_mixed,B compound-heavy,3,0.5808366037643308,2.2189427527919494,2.1018220793140405,2.287700534759358,0.46350068888888885,0.6085562999999999,0.014299466666666668,2.5251101895317607,0.024568966666666667,0.24859870000000003,-0.3061674367398113,-0.010269499999999999,0.3599575999999999
ssf,Sub-Saharan Africa,sns_expansion,SNS-like expansion,b_light_mixed,B light mixed,3,0.5484811747151045,2.3005177989153993,2.1939978563772775,2.3588924387646433,0.4253375481481481,0.4902357,0.017868866666666667,2.5251101895317607,0.024568966666666667,0.24859870000000003,-0.22459239061636138,-0.0067001000000000005,0.24163699999999996
ssf,Sub-Saharan Africa,sns_expansion,SNS-like expansion,symmetric,Symmetric,3,0.45379818121116994,2.5251101895317607,2.4119530416221986,2.699360341151386,0.3528279407407407,0.24859870000000003,0.024568966666666667,2.5251101895317607,0.024568966666666667,0.24859870000000003,0.0,0.0,0.0
usa,United States,global_from_start,Global from start,b_500_proxy,B 500+ proxy,3,0.12314164576649274,1.2907827447460227,1.2702407002188183,1.3129770992366412,0.3885205777777778,0.37037533333333333,0.012535699999999999,1.4605386456792102,0.013552066666666666,0.2716150666666667,-0.1697559009331875,-0.0010163666666666675,0.09876026666666665
