region,region_label,world_bank_code,calendar_year,actual_population,tfr,actual_population_index,tfr_multiplier,population_source,tfr_source
usa,United States,USA,1980,227225000.0,1.8395,1.0,0.8946984435797665,World Bank API,World Bank API
usa,United States,USA,1981,229466000.0,1.812,1.009862471118935,0.8813229571984436,World Bank API,World Bank API
usa,United States,USA,1982,231664000.0,1.8275,1.0195357024975245,0.8888618677042801,World Bank API,World Bank API
usa,United States,USA,1983,233792000.0,1.799,1.0289008691825283,0.875,World Bank API,World Bank API
usa,United States,USA,1984,235825000.0,1.8065,1.0378479480690945,0.878647859922179,World Bank API,World Bank API
usa,United States,USA,1985,237924000.0,1.844,1.04708548795247,0.896887159533074,World Bank API,World Bank API
usa,United States,USA,1986,240133000.0,1.8375,1.0568071294971944,0.8937256809338521,World Bank API,World Bank API
usa,United States,USA,1987,242289000.0,1.872,1.0662955220596326,0.9105058365758755,World Bank API,World Bank API
usa,United States,USA,1988,244499000.0,1.934,1.076021564528551,0.9406614785992218,World Bank API,World Bank API
usa,United States,USA,1989,246819000.0,2.014,1.0862317086588185,0.9795719844357975,World Bank API,World Bank API
usa,United States,USA,1990,249623000.0,2.081,1.0985719000990208,1.01215953307393,World Bank API,World Bank API
usa,United States,USA,1991,252981000.0,2.0625,1.113350203542744,1.0031614785992218,World Bank API,World Bank API
usa,United States,USA,1992,256514000.0,2.046,1.1288986687204312,0.9951361867704279,World Bank API,World Bank API
usa,United States,USA,1993,259919000.0,2.0195,1.1438838156012763,0.9822470817120622,World Bank API,World Bank API
usa,United States,USA,1994,263126000.0,2.0015,1.1579975794916932,0.9734922178988327,World Bank API,World Bank API
usa,United States,USA,1995,266278000.0,1.978,1.1718692925514358,0.9620622568093384,World Bank API,World Bank API
usa,United States,USA,1996,269394000.0,1.976,1.1855825723401914,0.961089494163424,World Bank API,World Bank API
usa,United States,USA,1997,272657000.0,1.971,1.199942787985477,0.9586575875486382,World Bank API,World Bank API
usa,United States,USA,1998,275854000.0,1.999,1.2140125426339532,0.9722762645914397,World Bank API,World Bank API
usa,United States,USA,1999,279040000.0,2.0075,1.2280338871162944,0.9764105058365757,World Bank API,World Bank API
usa,United States,USA,2000,282162411.0,2.056,1.2417753812300583,1.0,World Bank API,World Bank API
usa,United States,USA,2001,284968955.0,2.0305,1.2541267686214106,0.9875972762645914,World Bank API,World Bank API
usa,United States,USA,2002,287625193.0,2.0205,1.2658166707008471,0.9827334630350195,World Bank API,World Bank API
usa,United States,USA,2003,290107933.0,2.0475,1.2767430212344593,0.9958657587548637,World Bank API,World Bank API
usa,United States,USA,2004,292805298.0,2.0515,1.2886139201232258,0.9978112840466925,World Bank API,World Bank API
usa,United States,USA,2005,295516599.0,2.057,1.3005461502915612,1.0004863813229572,World Bank API,World Bank API
usa,United States,USA,2006,298379912.0,2.108,1.3131473737484871,1.0252918287937745,World Bank API,World Bank API
usa,United States,USA,2007,301231207.0,2.12,1.3256957068984487,1.0311284046692608,World Bank API,World Bank API
usa,United States,USA,2008,304093966.0,2.072,1.338294492243371,1.0077821011673151,World Bank API,World Bank API
usa,United States,USA,2009,306771529.0,2.002,1.3500782440312467,0.9737354085603112,World Bank API,World Bank API
usa,United States,USA,2010,309378227.0,1.931,1.3615501243261086,0.9392023346303502,World Bank API,World Bank API
usa,United States,USA,2011,311839461.0,1.8945,1.3723818285840026,0.9214494163424125,World Bank API,World Bank API
usa,United States,USA,2012,314339099.0,1.8805,1.3833825459346463,0.9146400778210116,World Bank API,World Bank API
