variant,final_ratio,final_pop,peak_pop,late_ratio,late_unmatched,late_bpe,late_selected_actionable,late_phantom_share
top_k_64_cap_64,0.734,1869,2750,0.696,0.464,0.0238,0.059,0.4
higher_birth_0_20,0.702,1805,3402,0.538,0.958,0.0028,0.013,0.844
percentile_selection,0.553,1408,2720,0.546,0.679,0.0155,0.017,0.833
higher_birth_0_16,0.546,1399,3022,0.476,0.965,0.0021,0.014,0.885
top_k_128,0.535,1363,2750,0.516,0.766,0.0119,0.017,0.837
top_k_64_action_0_25,0.468,1193,2753,0.455,0.867,0.0064,0.037,0.834
action_0_25_cap_64,0.456,1162,2754,0.447,0.864,0.0071,0.127,0.411
phantom_cap_32,0.448,1142,2748,0.438,0.879,0.0057,0.073,0.248
top_k_64,0.446,1137,2750,0.435,0.899,0.0049,0.019,0.815
phantom_cap_64,0.438,1115,2748,0.429,0.906,0.0044,0.062,0.378
action_radius_0_50,0.426,1086,2755,0.416,0.947,0.0022,0.054,0.873
top_k_32,0.425,1082,2750,0.415,0.941,0.0025,0.015,0.848
phantom_cap_128,0.422,1076,2748,0.414,0.947,0.0023,0.041,0.584
multiplier_30x,0.419,1067,2750,0.41,0.957,0.0021,0.02,0.834
global_action_radius,0.419,1067,2749,0.41,0.951,0.0019,0.054,0.946
current_phantom,0.415,1056,2748,0.406,0.964,0.0015,0.018,0.85
multiplier_100x,0.415,1058,2750,0.407,0.964,0.0014,0.02,0.828
action_radius_0_25,0.406,1034,2754,0.399,0.97,0.0012,0.016,0.915
