variant,start_pop,peak_pop,peak_year,final_pop,final_ratio,half_pop_year,pre_ratio,shock_ratio,late_ratio,late_births_per_pop,late_births_per_eligible,late_unmatched,late_selected_actionable,late_acceptance_share,late_action_coverage,late_visibility_gap
current_sns,2547,2750,2005,1250,0.491,2059.0,1.076,0.961,0.476,0.0026,0.0094,0.812,0.106,0.0002,0.109,0.891
no_sns_fixed_local,2547,2738,2001,2124,0.834,,1.072,0.977,0.796,0.0101,0.0301,0.35,0.327,0.3267,0.003,0.0
radius_shock_no_multiplier,2547,2750,2005,1250,0.491,2059.0,1.076,0.961,0.476,0.0026,0.0094,0.812,0.106,0.0505,0.109,0.891
slower_visibility_shock,2547,2793,2004,1228,0.482,2058.0,1.097,0.953,0.463,0.0021,0.0074,0.841,0.098,0.0002,0.107,0.893
candidate_multiplier_30x,2547,2750,2005,1250,0.491,2059.0,1.076,0.961,0.476,0.0026,0.0094,0.812,0.106,0.0017,0.109,0.891
candidate_multiplier_100x,2547,2750,2005,1250,0.491,2059.0,1.076,0.961,0.476,0.0026,0.0094,0.812,0.106,0.0005,0.109,0.891
action_radius_0_25,2547,2754,2005,1455,0.571,,1.08,0.965,0.55,0.0047,0.0152,0.677,0.224,0.0002,0.225,0.775
action_radius_0_50,2547,2755,2005,1606,0.631,,1.08,0.974,0.6,0.0057,0.0176,0.623,0.479,0.0002,0.485,0.515
global_action_radius,2545,2749,2005,1725,0.678,,1.077,0.971,0.648,0.007,0.0213,0.544,1.0,0.0002,1.0,0.0
top_k_32,2547,2750,2005,1706,0.67,,1.076,0.977,0.636,0.0067,0.0204,0.565,0.1,0.0004,0.106,0.894
top_k_64,2547,2750,2005,2394,0.94,,1.076,0.992,0.878,0.0115,0.0336,0.244,0.105,0.0023,0.105,0.895
percentile_selection,2547,2720,2001,1840,0.722,,1.066,0.965,0.704,0.0084,0.0256,0.427,0.104,0.0006,0.107,0.893
birth_probability_0_16,2562,3041,2009,1637,0.639,,1.16,1.004,0.544,0.0027,0.0081,0.864,0.1,0.0001,0.108,0.892
birth_probability_0_20,2573,3438,2013,2069,0.804,,1.263,1.043,0.605,0.0026,0.0071,0.892,0.098,0.0001,0.109,0.891
no_carrying_capacity,2547,2750,2005,1250,0.491,2059.0,1.076,0.961,0.476,0.0026,0.0094,0.812,0.106,0.0002,0.109,0.891
