variant,label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_unmatched_a_mean,late_unmatched_b_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_selection_quota_mean,reproductive_window,aspirational_gender,aspiration_quantile,aspiration_profile,reserve_fraction
symmetric_reserve_025,"Symmetric, reserve 25%",0,1222.0,1369.0,2017,898.0,0.734860883797054,0.7086743044189853,,0.28217196666666666,0.3259106962995456,0.23037767334479187,0.03935840000000001,0.12690336666666666,0.8730966333333333,16.0,18-45,none,0.0,none,0.25
symmetric_reserve_025,"Symmetric, reserve 25%",1,1220.0,1300.0,2005,820.0,0.6721311475409836,0.6680327868852459,,0.36546990000000007,0.42956695660464167,0.28373795268985674,0.03239393333333333,0.08227673333333334,0.9177232666666667,16.0,18-45,none,0.0,none,0.25
symmetric_reserve_025,"Symmetric, reserve 25%",2,1217.0,1276.0,1996,1056.0,0.8677074774034511,0.8019720624486442,,0.26216880000000004,0.23110931257059572,0.2900167596430664,0.03372326666666667,0.15830510000000003,0.8416948999999999,16.0,18-45,none,0.0,none,0.25
b_income_500_floor,B income floor 500+ proxy,0,1222.0,1338.0,2010,789.0,0.6456628477905073,0.6129296235679215,,0.2868719,0.3035457243673014,0.2662697667552635,0.034987033333333334,0.10956213333333334,0.8904378666666669,16.0,18-45,B,0.55,fixed 0.55,0.25
b_income_500_floor,B income floor 500+ proxy,1,1219.0,1286.0,1996,784.0,0.6431501230516817,0.5824446267432322,,0.31812729999999995,0.3570526827193223,0.27342089606320774,0.041068566666666674,0.10204043333333332,0.8979595666666665,16.0,18-45,B,0.55,fixed 0.55,0.25
b_income_500_floor,B income floor 500+ proxy,2,1215.0,1274.0,1996,748.0,0.6156378600823045,0.5769547325102881,,0.24216346666666666,0.2705140217212062,0.21026399650711872,0.04164353333333333,0.1411203,0.8588797333333336,16.0,18-45,B,0.55,fixed 0.55,0.25
b_income_700_floor,B income floor 700+ proxy,0,1222.0,1330.0,2008,80.0,0.06546644844517185,0.06464811783960721,2066.0,0.5237489666666666,0.4801759351759351,0.5492661058411833,0.026878466666666666,0.06330066666666666,0.9366993333333333,16.0,18-45,B,0.8,fixed 0.80,0.25
b_income_700_floor,B income floor 700+ proxy,1,1219.0,1297.0,2005,100.0,0.08203445447087777,0.07875307629204266,2063.0,0.5234699,0.5071128951792007,0.5281980277491113,0.0244972,0.031017633333333332,0.9689823666666667,16.0,18-45,B,0.8,fixed 0.80,0.25
b_income_700_floor,B income floor 700+ proxy,2,1215.0,1276.0,1997,136.0,0.11193415637860082,0.1102880658436214,2061.0,0.5082341333333333,0.41618109344502524,0.5710683473957482,0.030716899999999995,0.033050833333333335,0.9669491666666666,16.0,18-45,B,0.8,fixed 0.80,0.25
b_mixed_income_plus_light,"B mixed: 500+ base, light compound tail",0,1217.0,1276.0,2000,409.0,0.3360723089564503,0.3188167625308135,2076.0,0.32765479999999997,0.3027827145174002,0.349198058991332,0.03870643333333334,0.07457453333333335,0.9253733666666667,16.0,18-45,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
