calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
baseline,Baseline calibration,reference,symmetric,Symmetric,none,0,1222.0,1369.0,2017,898.0,0.734860883797054,0.7086743044189853,,0.28217196666666666,0.03935840000000001,0.12690336666666666,0.8730966333333333
baseline,Baseline calibration,reference,symmetric,Symmetric,none,1,1220.0,1300.0,2005,820.0,0.6721311475409836,0.6680327868852459,,0.36546990000000007,0.03239393333333333,0.08227673333333334,0.9177232666666667
baseline,Baseline calibration,reference,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1056.0,0.8677074774034511,0.8019720624486442,,0.26216880000000004,0.03372326666666667,0.15830510000000003,0.8416948999999999
baseline,Baseline calibration,reference,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1338.0,2010,789.0,0.6456628477905073,0.6129296235679215,,0.2868719,0.034987033333333334,0.10956213333333334,0.8904378666666669
baseline,Baseline calibration,reference,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,784.0,0.6431501230516817,0.5824446267432322,,0.31812729999999995,0.041068566666666674,0.10204043333333332,0.8979595666666665
baseline,Baseline calibration,reference,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,748.0,0.6156378600823045,0.5769547325102881,,0.24216346666666666,0.04164353333333333,0.1411203,0.8588797333333336
baseline,Baseline calibration,reference,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,409.0,0.3360723089564503,0.3188167625308135,2076.0,0.32765479999999997,0.03870643333333334,0.07457453333333335,0.9253733666666667
baseline,Baseline calibration,reference,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,557.0,0.4599504541701073,0.4475639966969447,2099.0,0.32718359999999996,0.036983833333333334,0.08920313333333332,0.9096592666666669
baseline,Baseline calibration,reference,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1305.0,2006,630.0,0.5176663927691043,0.4724732949876746,2088.0,0.2872700666666666,0.03623270000000001,0.09548276666666668,0.9045172333333333
baseline,Baseline calibration,reference,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,238.0,0.19556285949055052,0.19474116680361545,2066.0,0.3893937,0.03931430000000001,0.06253563333333333,0.9374643666666667
baseline,Baseline calibration,reference,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,213.0,0.17588769611891,0.17588769611891,2068.0,0.4438040666666666,0.03181253333333334,0.0544424,0.9455575999999998
baseline,Baseline calibration,reference,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1301.0,2006,357.0,0.2933442892358258,0.2908792111750205,2073.0,0.39204039999999996,0.033914900000000005,0.07898443333333333,0.9210155666666666
birth_low,Lower birth probability,fertility,symmetric,Symmetric,none,0,1213.0,1246.0,1994,277.0,0.22835943940643033,0.22835943940643033,2079.0,0.39038406666666664,0.02489396666666667,0.05196239999999999,0.9480375999999999
birth_low,Lower birth probability,fertility,symmetric,Symmetric,none,1,1213.0,1226.0,1995,221.0,0.18219291014014838,0.18219291014014838,2063.0,0.3682709666666666,0.02896133333333334,0.052069066666666664,0.9479309333333333
birth_low,Lower birth probability,fertility,symmetric,Symmetric,none,2,1210.0,1222.0,1984,341.0,0.2818181818181818,0.2809917355371901,2063.0,0.32425800000000005,0.02382966666666667,0.05307436666666666,0.9469256333333333
birth_low,Lower birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,0,1213.0,1260.0,1996,185.0,0.15251442704039572,0.15004122011541632,2066.0,0.3797008333333333,0.025663966666666666,0.04573866666666667,0.9542613333333334
birth_low,Lower birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,1,1213.0,1237.0,1994,137.0,0.11294311624072548,0.11211871393239901,2057.0,0.3953007333333333,0.031210933333333336,0.028350066666666673,0.9716499333333334
birth_low,Lower birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,2,1210.0,1220.0,1993,97.0,0.08016528925619834,0.08016528925619834,2051.0,0.5063124666666666,0.0218173,0.032491566666666666,0.9675084333333335
birth_low,Lower birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1215.0,1238.0,1992,105.0,0.08641975308641975,0.08641975308641975,2058.0,0.4429943333333333,0.024139933333333332,0.0335883,0.9330783666666668
birth_low,Lower birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1207.0,1217.0,1985,146.0,0.12096106048053024,0.12096106048053024,2056.0,0.44219263333333336,0.026404900000000002,0.03426613333333332,0.9657338666666665
birth_low,Lower birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1231.0,1990,74.0,0.06080525883319639,0.0599835661462613,2054.0,0.598047,0.024392300000000002,0.028391833333333335,0.9716081666666666
birth_low,Lower birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1215.0,1235.0,1992,26.0,0.02139917695473251,0.02139917695473251,2053.0,0.5942857,0.035952366666666666,0.014409733333333334,0.3855902666666667
birth_low,Lower birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1207.0,1217.0,1985,63.0,0.05219552609776305,0.05219552609776305,2052.0,0.42003336666666663,0.033375633333333335,0.030300866666666666,0.8696991333333332
birth_low,Lower birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1231.0,1990,97.0,0.07970419063270337,0.07970419063270337,2053.0,0.4877722666666667,0.026179666666666667,0.05170620000000001,0.9482938
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,0,1228.0,2366.0,2110,2230.0,1.8159609120521172,1.0,,0.26534076666666667,0.03469736666666667,0.20130713333333333,0.7986928666666667
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,1,1233.0,2303.0,2146,2265.0,1.8369829683698298,1.0,,0.2405269,0.03656523333333333,0.21394756666666664,0.7860524333333333
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,2,1231.0,2252.0,2126,2198.0,1.785540211210398,1.0,,0.2825459,0.03570606666666667,0.2191403333333333,0.7808596666666667
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,0,1230.0,2141.0,2158,2135.0,1.7357723577235773,1.0,,0.3136422666666666,0.0367672,0.18431106666666666,0.8156889333333333
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,1,1234.0,2266.0,2150,2230.0,1.807131280388979,1.0,,0.28843146666666664,0.03407386666666666,0.2017552,0.7982447999999999
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,2,1230.0,2081.0,2154,2080.0,1.6910569105691058,1.0,,0.3100022000000001,0.036909866666666666,0.19984796666666668,0.8001520333333334
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1236.0,1720.0,2147,1720.0,1.3915857605177993,1.0,,0.42979080000000003,0.03288273333333333,0.1942172,0.8057827999999998
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1219.0,2035.0,2148,1979.0,1.623461853978671,1.0,,0.3583655333333333,0.0342695,0.2017753,0.7981757333333335
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1224.0,1745.0,2154,1714.0,1.4003267973856208,1.0,,0.34724676666666665,0.03704146666666666,0.19745189999999993,0.8025480999999999
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1236.0,1500.0,2013,1467.0,1.1868932038834952,0.7920711974110033,,0.3175168666666666,0.047529100000000005,0.164217,0.8357829999999999
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1219.0,1548.0,2159,1548.0,1.2698933552091878,0.9474979491386383,,0.34195203333333335,0.0403471,0.18109619999999996,0.8189037666666666
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1224.0,1616.0,2159,1616.0,1.3202614379084967,0.8913398692810458,,0.3784520333333334,0.04014423333333333,0.19343453333333335,0.8065545000000001
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,0,1221.0,1367.0,2018,1018.0,0.8337428337428338,0.814086814086814,,0.2920278333333333,0.038716966666666665,0.13962983333333331,0.8603701666666665
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,1,1220.0,1297.0,2005,926.0,0.759016393442623,0.7508196721311475,,0.3212846666666666,0.034581966666666665,0.1025345,0.8974654999999998
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,2,1215.0,1286.0,1996,1030.0,0.8477366255144033,0.7522633744855967,,0.24083106666666668,0.033734466666666664,0.14784940000000002,0.8521506000000001
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1333.0,2008,615.0,0.5032733224222586,0.5032733224222586,,0.38013506666666674,0.03692613333333334,0.07608030000000002,0.9239197
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,1,1220.0,1287.0,2005,660.0,0.5409836065573771,0.5295081967213114,,0.31650539999999994,0.03310433333333333,0.0983718,0.9016282
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1272.0,1996,772.0,0.6353909465020576,0.594238683127572,,0.2515264,0.04171943333333334,0.11895066666666665,0.8809477
initial_pairs_low,Lower initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1284.0,2002,578.0,0.47493837304847986,0.44535743631881675,2088.0,0.32454990000000006,0.038496166666666665,0.09678023333333334,0.9032197666666666
