calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,delta_vs_symmetric,retained_vs_symmetric
baseline,Baseline calibration,reference,symmetric,Symmetric,none,3,0.7582331695804964,0.6721311475409836,0.8677074774034511,0.7262263845842917,0.3032702222222223,0.03515853333333333,0.12249506666666667,0.8775049333333333,0.0,1.0
baseline,Baseline calibration,reference,income_500_floor,B 500+ proxy,fixed 0.55,3,0.6348169436414978,0.6156378600823045,0.6456628477905073,0.5907763276071473,0.28238755555555556,0.03923304444444444,0.11757428888888888,0.8824257222222224,-0.12341622593899859,0.8372318293496968
baseline,Baseline calibration,reference,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.43789638529855396,0.3360723089564503,0.5176663927691043,0.4129513514051442,0.31403615555555553,0.03730765555555556,0.08642014444444444,0.9131832888888889,-0.3203367842819424,0.5775220642758567
baseline,Baseline calibration,reference,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.22159828161509543,0.17588769611891,0.2933442892358258,0.22050269136584866,0.4084127222222222,0.03501391111111112,0.06532082222222223,0.9346791777777778,-0.5366348879654009,0.2922561165949756
birth_low,Lower birth probability,fertility,symmetric,Symmetric,none,3,0.23079017712158686,0.18219291014014838,0.2818181818181818,0.23051469502792296,0.36097101111111113,0.02589498888888889,0.0523686111111111,0.9476313888888889,0.0,1.0
birth_low,Lower birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,3,0.11520761084577318,0.08016528925619834,0.15251442704039572,0.11410840776800457,0.4271046777777778,0.026230733333333336,0.035526766666666675,0.9644732333333333,-0.11558256627581369,0.4991876703014033
birth_low,Lower birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.08939535746671545,0.06080525883319639,0.12096106048053024,0.08912145990440375,0.4944113222222222,0.024979044444444445,0.03208208888888889,0.9568068,-0.1413948196548714,0.38734472403311787
birth_low,Lower birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.051099631228399646,0.02139917695473251,0.07970419063270337,0.051099631228399646,0.500697111111111,0.03183588888888889,0.032138933333333335,0.7345277333333332,-0.17969054589318723,0.2214116383362317
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,3,1.8128280305441151,1.785540211210398,1.8369829683698298,1.0,0.2628045222222222,0.03565622222222222,0.21146501111111107,0.788534988888889,0.0,1.0
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,3,1.7446535162272208,1.6910569105691058,1.807131280388979,1.0,0.30402531111111114,0.035916977777777775,0.19530474444444446,0.8046952555555554,-0.06817451431689436,0.9623932810127434
