candidate,label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,pre_shock_rmse,early_rmse,full_anchor_rmse,shape_score,late_births_per_population_mean,target_error,inside_target_band,error_1980,error_1990,error_2000,error_2010,error_2020,error_2070,birth_probability,pair_duration_mean,initial_pair_fraction,carrying_capacity,lifespan_mean
bp0.22_dur18_cap6000_life78,"birth=0.22, duration=18, cap=6000, life=78",3,0.740101421082425,0.7319252640129975,0.7526530612244898,0.00833342743737415,0.021079382198063167,0.019846581144347227,0.03570682833410713,0.009100166666666668,0.00010142108242505721,True,0.0,0.0016256039217844946,-0.012546015652284007,-0.0034675245425887327,-0.0014934809275027512,-0.0031046757088415053,0.22,18.0,0.55,6000,78.0
bp0.20_dur18_cap9000_life78,"birth=0.20, duration=18, cap=9000, life=78",3,0.7284760682512689,0.6783103168155971,0.7805872756933115,0.01041151431034427,0.027684137345019177,0.030446096924237567,0.05697116580736751,0.007711616666666668,0.01152393174873112,True,0.0,-5.71744852543669e-06,-0.007652051541354214,0.0025115457152045106,0.0025788407071169286,-0.01473002853999772,0.2,18.0,0.55,9000,78.0
bp0.18_dur26_cap9000_life82,"birth=0.18, duration=26, cap=9000, life=82",3,0.6871520186450022,0.6726530612244898,0.7017114914425427,0.007993484142182782,0.010347280318464784,0.025038157285127437,0.05922260820147492,0.007142533333333333,0.0528479813549978,True,0.0,0.0076960532220165705,0.009296125610902909,0.00779403040938272,0.010245751630274894,-0.05605407814626447,0.18,26.0,0.55,9000,82.0
bp0.22_dur26_cap4500_life86,"birth=0.22, duration=26, cap=4500, life=86",3,0.7346417684052439,0.6997558991049634,0.803761242845462,0.022505205640336905,0.03259955786998644,0.03598106884147921,0.0631098530413471,0.007055016666666667,0.005358231594756124,True,0.0,0.024014832842559713,0.030509411967150363,0.04994363007434344,0.03526702518930428,-0.00856432838602276,0.22,26.0,0.55,4500,86.0
bp0.20_dur26_cap9000_life78,"birth=0.20, duration=26, cap=9000, life=78",3,0.7769235353985863,0.723265306122449,0.8390243902439024,0.009623449259846437,0.02243988794674569,0.028346033288904938,0.06363771694825734,0.008770133333333333,0.03692353539858628,True,0.0,0.002107051663567283,-0.00994695563861995,-9.745338305059785e-05,0.012416315546343407,0.03371743860731954,0.2,26.0,0.55,9000,78.0
bp0.24_dur18_cap4500_life78,"birth=0.24, duration=18, cap=4500, life=78",3,0.763218211214022,0.727051177904143,0.8107667210440457,0.011895961461695687,0.02967544886812688,0.03025981528363275,0.06412550754173892,0.008924033333333333,0.02321821121402201,True,0.0,0.004344472872301071,-0.0060207301710442085,0.004414753980566122,0.005572027168068224,0.020012114422755484,0.24,18.0,0.55,4500,78.0
bp0.20_dur26_cap6000_life82,"birth=0.20, duration=26, cap=6000, life=82",3,0.7064735714840586,0.6604081632653062,0.7493877551020408,0.018040687485833515,0.023055817853087163,0.03015113856137237,0.06420621620915841,0.00731745,0.03352642851594134,True,0.0,0.020206563026099172,0.022900370396672365,0.021399605798083938,0.03309904748052861,-0.03673252530720802,0.2,26.0,0.55,6000,82.0
bp0.18_dur18_cap9000_life82,"birth=0.18, duration=18, cap=9000, life=82",3,0.6822660327374633,0.6780766096169519,0.6848979591836735,0.010282915562439945,0.013667615887505813,0.028593944031259772,0.06771163957815746,0.006406466666666667,0.057733967262536656,True,0.0,0.009871147655334589,0.013651195538901225,0.006440360443705624,0.015146368763843862,-0.06094006405380322,0.18,18.0,0.55,9000,82.0
bp0.22_dur26_cap4500_life82,"birth=0.22, duration=26, cap=4500, life=82",3,0.7053647168492193,0.6506122448979592,0.7846655791190864,0.01752297699023246,0.023449684198368504,0.03869140466104546,0.07359630938521218,0.006959483333333332,0.03463528315078068,True,0.0,0.016397039216575388,0.022082268278174055,0.02492880867009739,0.03363460917665898,-0.03784137994204732,0.22,26.0,0.55,4500,82.0
bp0.24_dur26_cap4500_life78,"birth=0.24, duration=26, cap=4500, life=78",3,0.7972498932455713,0.7485714285714286,0.8495145631067961,0.00843529950491865,0.021741272755719077,0.03052701533993445,0.0754579165295094,0.008727383333333333,0.05724989324557128,True,0.0,0.0033712924613151043,-0.011715050989476413,-0.0019352351843144877,0.015723144610260514,0.05404379645430465,0.24,26.0,0.55,4500,78.0
