candidate,label,aspiration_profile,aspiration_label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,late_unmatched_mean,birth_probability,pair_duration_mean,initial_pair_fraction,carrying_capacity,lifespan_mean,delta_vs_symmetric,retained_vs_symmetric
bp0.22_dur18_cap6000_life78,"birth=0.22, duration=18, cap=6000, life=78",symmetric,Symmetric,3,0.740101421082425,0.7319252640129975,0.7526530612244898,0.3047385333333334,0.22,18.0,0.55,6000,78.0,0.0,1.0
bp0.22_dur18_cap6000_life78,"birth=0.22, duration=18, cap=6000, life=78",income_500_floor,B 500+ proxy,3,0.6319057028303797,0.5977011494252874,0.6672091131000814,0.36871316666666676,0.22,18.0,0.55,6000,78.0,-0.10819571825204533,0.8538096061296502
bp0.22_dur18_cap6000_life78,"birth=0.22, duration=18, cap=6000, life=78",mixed_light,B light mixed,3,0.5835961564532993,0.5192465192465192,0.6388888888888888,0.4438564333333334,0.22,18.0,0.55,6000,78.0,-0.15650526462912573,0.7885353815423958
bp0.22_dur18_cap6000_life78,"birth=0.22, duration=18, cap=6000, life=78",mixed_heavy,B compound-heavy,3,0.44899843202364215,0.3955773955773956,0.4869281045751634,0.5388265,0.22,18.0,0.55,6000,78.0,-0.2911029890587829,0.6066714901951759
bp0.20_dur18_cap9000_life78,"birth=0.20, duration=18, cap=9000, life=78",symmetric,Symmetric,3,0.7284760682512689,0.6783103168155971,0.7805872756933115,0.3093733,0.2,18.0,0.55,9000,78.0,0.0,1.0
bp0.20_dur18_cap9000_life78,"birth=0.20, duration=18, cap=9000, life=78",income_500_floor,B 500+ proxy,3,0.64200324994626,0.6157635467980296,0.6639544344995931,0.3914147833333333,0.2,18.0,0.55,9000,78.0,-0.08647281830500886,0.8812962812730557
bp0.20_dur18_cap9000_life78,"birth=0.20, duration=18, cap=9000, life=78",mixed_light,B light mixed,3,0.5528222678626541,0.5398520953163517,0.5735294117647058,0.44535926666666664,0.2,18.0,0.55,9000,78.0,-0.17565380038861478,0.7588749884258001
bp0.20_dur18_cap9000_life78,"birth=0.20, duration=18, cap=9000, life=78",mixed_heavy,B compound-heavy,3,0.43907565055964515,0.4061738424045491,0.46405228758169936,0.5795734,0.2,18.0,0.55,9000,78.0,-0.2894004176916237,0.6027317432865859
bp0.18_dur26_cap9000_life82,"birth=0.18, duration=26, cap=9000, life=82",symmetric,Symmetric,3,0.6871520186450022,0.6726530612244898,0.7017114914425427,0.2841976666666666,0.18,26.0,0.55,9000,82.0,0.0,1.0
bp0.18_dur26_cap9000_life82,"birth=0.18, duration=26, cap=9000, life=82",income_500_floor,B 500+ proxy,3,0.573646494281704,0.5605199025182778,0.5825874694873882,0.3930417333333333,0.18,26.0,0.55,9000,82.0,-0.1135055243632982,0.8348174475465848
bp0.18_dur26_cap9000_life82,"birth=0.18, duration=26, cap=9000, life=82",mixed_light,B light mixed,3,0.4980446712818252,0.473426001635323,0.5367047308319739,0.5028241166666666,0.18,26.0,0.55,9000,82.0,-0.18910734736317697,0.724795471406635
bp0.18_dur26_cap9000_life82,"birth=0.18, duration=26, cap=9000, life=82",mixed_heavy,B compound-heavy,3,0.44676442332196614,0.3945857260049221,0.47914963205233035,0.5651712,0.18,26.0,0.55,9000,82.0,-0.24038759532303605,0.6501682469083664
bp0.22_dur26_cap4500_life86,"birth=0.22, duration=26, cap=4500, life=86",symmetric,Symmetric,3,0.7346417684052439,0.6997558991049634,0.803761242845462,0.31374585000000005,0.22,26.0,0.55,4500,86.0,0.0,1.0
bp0.22_dur26_cap4500_life86,"birth=0.22, duration=26, cap=4500, life=86",income_500_floor,B 500+ proxy,3,0.6627532261597279,0.5988608624898292,0.7088091353996737,0.3763601833333334,0.22,26.0,0.55,4500,86.0,-0.071888542245516,0.9021447658747048
bp0.22_dur26_cap4500_life86,"birth=0.22, duration=26, cap=4500, life=86",mixed_light,B light mixed,3,0.5890171385950929,0.5338283828382838,0.6311074918566775,0.47705311666666667,0.22,26.0,0.55,4500,86.0,-0.145624629810151,0.801774638915138
bp0.22_dur26_cap4500_life86,"birth=0.22, duration=26, cap=4500, life=86",mixed_heavy,B compound-heavy,3,0.5020938042498005,0.4521452145214521,0.5333876221498371,0.6029683,0.22,26.0,0.55,4500,86.0,-0.23254796415544332,0.6834539306684712
bp0.20_dur26_cap9000_life78,"birth=0.20, duration=26, cap=9000, life=78",symmetric,Symmetric,3,0.7769235353985863,0.723265306122449,0.8390243902439024,0.2472301166666667,0.2,26.0,0.55,9000,78.0,0.0,1.0
bp0.20_dur26_cap9000_life78,"birth=0.20, duration=26, cap=9000, life=78",income_500_floor,B 500+ proxy,3,0.6137320477559219,0.5162866449511401,0.6680227827502034,0.4177198833333333,0.2,26.0,0.55,9000,78.0,-0.16319148764266433,0.789951674512033
bp0.20_dur26_cap9000_life78,"birth=0.20, duration=26, cap=9000, life=78",mixed_light,B light mixed,3,0.6027075827140012,0.5788617886178862,0.6437346437346437,0.471684,0.2,26.0,0.55,9000,78.0,-0.17421595268458512,0.7757617773862304
bp0.20_dur26_cap9000_life78,"birth=0.20, duration=26, cap=9000, life=78",mixed_heavy,B compound-heavy,3,0.4876133387004697,0.47804878048780486,0.4987714987714988,0.5701999833333332,0.2,26.0,0.55,9000,78.0,-0.2893101966981166,0.6276207586507322
