year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,case,No reserve regions population,No reserve regions share,Weak reserve regions population,Weak reserve regions share,Balanced reserve regions population,Balanced reserve regions share,Strong reserve regions population,Strong reserve regions share
1,1980,2546,46,0.018068,0.043726,0.093878,0,490,5,519,0.068441,0.296296,0.0,0.296296,0.0,0.259259,0.004892,0.000699,0.222222,0.296296,0.259259,0.0,0.0,0.0,0.0,1.0,0.00559,0.001257,0.086667,1,0.12,1,-0.000685,0.980611,2.214285,0.96687,84.64,0.02,block,633,0.24862529457973293,648,0.2545168892380204,626,0.24587588373919875,639,0.2509819324430479
2,1981,2554,39,0.01527,0.036967,0.085339,31,457,43,511,0.133649,1.16092,1.0,1.16092,1.0,1.103448,0.006378,0.000332,0.588123,1.16092,0.62069,0.0,0.0,0.0,0.0,1.0,0.006711,0.001257,0.086467,1,0.12,5,-0.000999,0.974768,2.207678,0.970986,74.195122,0.02,block,632,0.24745497259201252,652,0.2552858261550509,626,0.245105716523101,644,0.25215348472983556
3,1982,2557,29,0.011341,0.027751,0.067916,26,427,36,518,0.182775,0.88764,1.0,0.88764,1.0,0.808989,0.004571,0.000444,0.488764,0.88764,0.55618,0.0,0.0,0.0,0.0,1.0,0.005015,0.001257,0.086293,1,0.12,7,-0.000547,0.966856,2.198699,0.978828,54.258065,0.02,block,632,0.24716464606961283,650,0.25420414548298786,627,0.24520922956589752,648,0.25342197888150175
4,1983,2566,42,0.016368,0.040076,0.100719,33,417,48,532,0.204198,1.093596,1.0,1.093596,1.0,0.896552,0.004438,0.000975,0.495813,1.093596,0.586207,0.0,0.0,0.0,0.0,1.0,0.005414,0.001257,0.086347,1,0.12,20,0.002468,0.962129,2.193318,0.968786,80.181818,0.02,block,630,0.24551831644583008,658,0.2564302416212003,626,0.24395946999220577,652,0.2540919719407638
5,1984,2577,28,0.010865,0.026641,0.068966,17,406,48,537,0.227402,1.148148,1.0,1.148148,1.0,0.990741,0.004608,0.000732,0.511188,1.148148,0.587963,0.0,0.0,0.0,0.0,1.0,0.00534,0.001257,0.086013,1,0.12,17,0.003375,0.955857,2.186157,0.979766,52.266667,0.02,block,631,0.24485836243694217,667,0.2588280946837408,625,0.24253007372914243,654,0.25378346915017463
6,1985,2579,33,0.012796,0.031609,0.0825,31,400,52,548,0.233716,1.037037,1.0,1.037037,1.0,0.851852,0.003962,0.000861,0.496914,1.037037,0.611111,0.0,0.0,0.0,0.0,1.0,0.004823,0.001257,0.086053,1,0.12,20,0.002566,0.949199,2.17853,0.975913,62.228571,0.02,block,627,0.24311748739821637,672,0.260566110895696,627,0.24311748739821637,653,0.2531989143078713
7,1986,2590,32,0.012355,0.030681,0.082474,21,388,27,549,0.255992,0.714286,0.0,0.714286,0.0,0.527473,0.002914,0.001032,0.330586,0.714286,0.472527,0.0,0.0,0.0,0.0,1.0,0.003946,0.001257,0.085893,1,0.12,17,0.003879,0.941821,2.170048,0.976786,60.235294,0.02,block,629,0.24285714285714285,676,0.261003861003861,630,0.24324324324324326,655,0.2528957528957529
8,1987,2597,23,0.008856,0.021884,0.059896,16,384,43,555,0.269267,1.018018,1.0,1.018018,1.0,0.756757,0.003424,0.001182,0.449474,1.018018,0.599099,0.0,0.0,0.0,0.0,1.0,0.004606,0.001257,0.08568,1,0.12,29,0.003366,0.935538,2.162797,0.982287,46.0,0.02,block,632,0.24335772044666923,679,0.261455525606469,627,0.24143242202541393,659,0.2537543319214478
9,1988,2597,27,0.010397,0.026137,0.073171,27,369,28,558,0.285576,0.8125,0.0,0.8125,0.0,0.604167,0.003163,0.001091,0.332552,0.8125,0.463542,0.0,0.0,0.0,0.0,1.0,0.004254,0.001257,0.085733,1,0.12,20,0.004066,0.932024,2.158731,0.979207,54.0,0.02,block,627,0.24143242202541393,681,0.26222564497497114,632,0.24335772044666923,657,0.25298421255294573
10,1989,2609,35,0.013415,0.034247,0.09887,23,354,26,560,0.307241,0.769231,0.0,0.769231,0.0,0.512821,0.002643,0.001322,0.304701,0.769231,0.451282,0.0,0.0,0.0,0.0,1.0,0.003965,0.001257,0.08568,1,0.12,25,0.004468,0.92516,2.150767,0.977375,59.756098,0.02,block,624,0.23917209658873131,691,0.2648524338827137,634,0.24300498275201227,660,0.2529704867765427
11,1990,2616,29,0.011086,0.028348,0.081461,22,356,38,571,0.304008,0.892019,1.0,0.892019,1.0,0.507042,0.002392,0.001816,0.336854,0.892019,0.516432,0.0,0.0,0.0,0.0,1.0,0.004208,0.001257,0.085507,1,0.12,41,0.003238,0.918903,2.143482,0.977829,58.0,0.02,block,623,0.23814984709480122,694,0.2652905198776758,632,0.2415902140672783,667,0.25496941896024466
12,1991,2638,43,0.0163,0.04249,0.122159,21,352,26,573,0.304348,0.640884,0.0,0.640884,0.0,0.441989,0.002455,0.001105,0.298343,0.640884,0.414365,0.0,0.0,0.0,0.0,1.0,0.00356,0.001257,0.0854,1,0.12,18,0.004485,0.914207,2.137997,0.971631,75.469388,0.02,block,628,0.23805913570887036,702,0.26611068991660347,631,0.23919636087945415,677,0.256633813495072
13,1992,2643,25,0.009459,0.024486,0.069252,20,361,34,582,0.29285,0.883249,0.0,0.883249,0.0,0.649746,0.003315,0.001191,0.38291,0.883249,0.492386,0.0,0.0,0.0,0.0,1.0,0.004506,0.001257,0.085093,1,0.12,23,0.004133,0.910017,2.133093,0.986167,37.878788,0.02,block,632,0.23912220961029135,707,0.2674990541051835,632,0.23912220961029135,672,0.2542565266742338
14,1993,2665,36,0.013508,0.035088,0.101124,14,356,37,580,0.306043,0.906542,1.0,0.906543,1.000001,0.719626,0.003379,0.000878,0.389408,0.906542,0.504673,0.0,0.0,0.0,0.0,1.000001,0.004256,0.001257,0.084947,1,0.12,20,0.00321,0.90358,2.125535,0.977111,61.714286,0.02,block,638,0.23939962476547844,714,0.2679174484052533,641,0.24052532833020637,672,0.25215759849906194
15,1994,2678,32,0.011949,0.031527,0.091691,19,349,25,574,0.312315,0.52,0.0,0.520001,0.0,0.39,0.00196,0.000653,0.268333,0.52,0.349999,0.0,0.0,0.0,0.0,1.000002,0.002613,0.001257,0.08472,1,0.12,13,0.004804,0.896077,2.116692,0.976102,64.0,0.02,block,640,0.23898431665421957,720,0.268857356235997,645,0.24085138162808065,673,0.25130694548170274
16,1995,2682,27,0.010067,0.026419,0.076271,23,354,35,579,0.307241,0.679245,0.0,0.67925,0.0,0.59434,0.002817,0.000402,0.382862,0.679245,0.44811,0.0,0.0,0.0,0.0,1.000006,0.003219,0.001257,0.0846,1,0.12,9,0.00419,0.892066,2.11195,0.981302,50.275862,0.020002,block,642,0.23937360178970918,721,0.2688292319164802,642,0.23937360178970918,677,0.2524235645041014
17,1996,2691,30,0.011148,0.02924,0.085227,21,352,35,586,0.31384,0.706977,0.0,0.706991,0.0,0.595349,0.002782,0.000522,0.355039,0.706977,0.43255,0.0,0.0,0.0,0.0,1.00002,0.003304,0.001257,0.08452,1,0.12,12,0.004326,0.885137,2.103731,0.981717,50.0,0.020005,block,647,0.24043106651802304,727,0.2701597918989223,640,0.23782980304719434,677,0.2515793385358603
18,1997,2701,28,0.010367,0.027397,0.077994,18,359,37,595,0.297456,0.657005,0.0,0.657046,0.0,0.531401,0.00258,0.00061,0.388486,0.657005,0.478231,0.0,0.0,0.0,0.0,1.000062,0.003189,0.001259,0.08436,1,0.12,13,0.005615,0.881318,2.099188,0.982017,49.0,0.020015,block,647,0.23954091077378747,731,0.27064050351721586,639,0.2365790447982229,684,0.2532395409107738
19,1998,2714,38,0.014001,0.036929,0.106742,25,356,41,597,0.308066,0.946429,1.0,0.946613,1.000195,0.794643,0.003563,0.000681,0.436384,0.946429,0.50883,0.0,0.0,0.0,0.0,1.000195,0.004244,0.001263,0.08432,1,0.12,17,0.005625,0.874684,2.091273,0.97607,65.636364,0.020048,block,648,0.23876197494473103,733,0.2700810611643331,637,0.23470891672807664,696,0.25644804716285924
20,1999,2726,36,0.013206,0.034884,0.10084,24,357,38,604,0.30814,0.728155,0.0,0.7286,0.0,0.660194,0.00322,0.000332,0.40534,0.728155,0.451181,0.0,0.0,0.0,0.0,1.00061,0.003552,0.001275,0.084133,1,0.12,7,0.007305,0.869909,2.085556,0.976359,64.8,0.020149,block,655,0.24027879677182684,731,0.2681584739545121,641,0.2351430667644901,699,0.2564196625091709
21,2000,2731,31,0.011351,0.030602,0.089595,26,346,27,604,0.316881,0.655556,0.0,0.656811,0.0,0.533333,0.00298,0.000683,0.338889,0.655556,0.41587,0.0,0.0,0.0,0.0,1.001915,0.003662,0.001316,0.084,1,0.12,11,0.007057,0.862701,2.076898,0.981266,51.945946,0.020468,block,663,0.24276821677041377,730,0.26730135481508605,638,0.23361406078359576,700,0.25631636763090443
22,2001,2736,29,0.010599,0.028459,0.082386,24,352,31,604,0.309127,0.708333,0.0,0.712592,0.0,0.614583,0.003218,0.000491,0.348958,0.708333,0.414177,0.0,0.0,0.0,0.0,1.006012,0.003709,0.001447,0.083907,1,0.12,9,0.007749,0.853638,2.06596,0.980213,54.258065,0.021465,block,660,0.2412280701754386,734,0.2682748538011696,642,0.23464912280701755,700,0.25584795321637427
