reserve_fraction,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,near_extinction_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
0.0,2545,2761,2005,0,0.0,0.0,2053,2110,0.1412,0.0,0.0002,0.1318
0.025,2545,2761,2005,285,0.112,0.0959,2058,,0.3917,0.03568,0.0532,0.9451
0.05,2545,2761,2005,285,0.112,0.0959,2058,,0.3917,0.03568,0.0532,0.9451
0.075,2545,2761,2005,1107,0.435,0.3725,2076,,0.3227,0.03671,0.1219,0.8765
0.1,2545,2761,2005,1107,0.435,0.3725,2076,,0.3227,0.03671,0.1219,0.8765
0.125,2545,2761,2005,1107,0.435,0.3725,2076,,0.3227,0.03671,0.1219,0.8765
0.15,2545,2761,2005,1505,0.5914,0.5686,,,0.2943,0.03548,0.1834,0.8161
0.175,2545,2761,2005,1505,0.5914,0.5686,,,0.2943,0.03548,0.1834,0.8161
0.2,2545,2761,2005,1810,0.7112,0.6931,,,0.28,0.03569,0.2421,0.7574
0.225,2545,2761,2005,1810,0.7112,0.6931,,,0.28,0.03569,0.2421,0.7574
0.25,2545,2761,2005,1810,0.7112,0.6931,,,0.28,0.03569,0.2421,0.7574
0.275,2545,2761,2005,2096,0.8236,0.7839,,,0.2507,0.03609,0.2957,0.7039
0.3,2545,2761,2005,2096,0.8236,0.7839,,,0.2507,0.03609,0.2957,0.7039
