experiment,variant,label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_visibility_action_gap_mean,late_action_coverage_mean,late_candidate_pool_multiplier_mean,late_mean_selection_quota,condition,selection_mode,top_k,selectivity_mean,max_candidate_pool_multiplier,action_radius,protected_slots,reserve_fraction,learning,final_mean_region_reserve,final_max_region_reserve
a_radius_alone,local_visible_local_action,"Local visibility, local action",0,1221.0,1532.0,2038,1400.0,1.1466011466011465,0.9983619983619983,,0.18655280000000005,0.03493553333333333,0.9733499000000001,0.0,0.0,0.1333948666666667,1.0,5.507854133333334,radius_aligned,,,,,,,,,,
a_radius_alone,local_visible_local_action,"Local visibility, local action",1,1220.0,1465.0,2025,1264.0,1.0360655737704918,1.0,,0.2289442333333333,0.03290696666666666,0.9584550000000001,0.0,0.0,0.1281701,1.0,4.769084200000001,radius_aligned,,,,,,,,,,
a_radius_alone,local_visible_local_action,"Local visibility, local action",2,1216.0,1572.0,2053,1195.0,0.9827302631578947,0.9827302631578947,,0.22345023333333333,0.034121066666666665,0.9490403333333333,0.0,0.0,0.1290915333333333,1.0,4.441630933333333,radius_aligned,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",0,1225.0,1338.0,2008,907.0,0.7404081632653061,0.7053061224489796,,0.32497903333333333,0.03825996666666666,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",1,1220.0,1314.0,2005,906.0,0.7426229508196721,0.7377049180327869,,0.2897835666666666,0.035703200000000004,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",2,1217.0,1312.0,2003,969.0,0.7962202136400987,0.7962202136400987,,0.3269623000000001,0.031066166666666672,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",0,1220.0,1248.0,1990,360.0,0.29508196721311475,0.29508196721311475,2056.0,0.4300451666666668,0.03443436666666667,0.19318826666666666,0.0,0.7643552666666668,0.23564473333333336,1.0,13.1,action_gap_only,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",1,1220.0,1257.0,1985,506.0,0.41475409836065574,0.32459016393442625,2051.0,0.47936436666666665,0.028340200000000003,0.10225776666666668,0.0,0.8527106666666667,0.1472893333333333,1.0,16.0,action_gap_only,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",2,1216.0,1252.0,1992,281.0,0.23108552631578946,0.23108552631578946,2050.0,0.5229183666666667,0.029670099999999998,0.10126233333333333,0.0,0.8416608,0.15833920000000004,1.0,13.8,action_gap_only,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,0,1221.0,1406.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,1,1219.0,1363.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,2,1218.0,1365.0,2004,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,0,1221.0,1413.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,2,1218.0,1372.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,0,1221.0,1362.0,2008,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,1,1219.0,1349.0,2005,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,2,1218.0,1366.0,2004,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,0,1221.0,1362.0,2008,1.0,0.000819000819000819,0.000819000819000819,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,1,1219.0,1349.0,2005,2.0,0.0016406890894175555,0.0016406890894175555,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,2,1218.0,1366.0,2004,8.0,0.006568144499178982,0.006568144499178982,2058.0,0.9366666666666668,0.006666666666666667,0.010144866666666669,0.6792642,0.26666666666666666,0.43333333333333335,300.0,17.105555566666666,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,0,1221.0,1365.0,2008,33.0,0.02702702702702703,0.02702702702702703,2065.0,0.8890072,0.006451366666666667,0.010591666666666666,0.9701443333333335,0.42527676666666664,0.5747232333333334,300.0,87.78443453333333,,percentile,,0.18,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,1,1219.0,1346.0,2005,38.0,0.031173092698933553,0.031173092698933553,2062.0,0.631688,0.02082736666666667,0.0037713666666666667,0.9854464333333333,0.42260226666666667,0.5773977333333333,300.0,91.84593629999999,,percentile,,0.18,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,2,1218.0,1368.0,2004,130.0,0.10673234811165845,0.10673234811165845,2066.0,0.5082018333333332,0.03020876666666667,0.012701266666666667,0.9233794,0.7749374,0.22506260000000006,300.0,96.89233453333334,,percentile,,0.18,,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,0,1221.0,1430.0,2012,435.0,0.35626535626535627,0.24651924651924653,2072.0,0.20535326666666665,0.045913100000000005,0.1751811,0.0,0.8253405,0.17465950000000005,1.0,14.033333333333333,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,1,1219.0,1361.0,2005,522.0,0.42821985233798193,0.39950779327317476,2078.0,0.4713515999999999,0.03439333333333334,0.12559106666666667,0.0,0.8424636333333333,0.15753636666666668,1.0,16.0,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,2,1218.0,1384.0,2010,438.0,0.35960591133004927,0.33579638752052543,2077.0,0.3864171333333334,0.03437423333333334,0.12456099999999999,0.0,0.8041508333333333,0.19584916666666669,1.0,16.0,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,0,1221.0,1414.0,2010,0.0,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,2,1218.0,1374.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,0,1221.0,1411.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,1,1219.0,1361.0,2005,1.0,0.0008203445447087777,0.0008203445447087777,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,2,1218.0,1370.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,0,1221.0,1409.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,2,1218.0,1369.0,2010,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",0,1221.0,1371.0,2008,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",1,1220.0,1363.0,2005,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",2,1217.0,1356.0,2003,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",0,1221.0,1412.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",1,1219.0,1366.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",2,1217.0,1354.0,2004,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_240,"Global visibility, action radius 0.24",0,1220.0,1393.0,2010,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.24,,,,,
